"初始事件的发生时间","channel_name","国家地区","newUsersid数","指标","当日","第1日","第2日","第3日","第4日","第5日","第6日","第7日","第8日","第9日","第10日","第11日","第12日","第13日","第14日","第15日","第16日","第17日","第18日","第19日","第20日","第21日","第22日","第23日","第24日","第25日","第26日","第27日","第28日","第29日","第30日","第31日","第32日","第33日","第34日","第35日","第36日","第37日","第38日","第39日","第40日","第41日","第42日","第43日","第44日","第45日","第46日","第47日","第48日","第49日","第50日","第51日","第52日","第53日","第54日","第55日","第56日","第57日","第58日","第59日","第60日"
"2024-07-05(五)","googleplay","法国","1","留存人数","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-05(五)","googleplay","法国","1","留存率","100%","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-05(五)","googleplay","澳大利亚","1","留存人数","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-05(五)","googleplay","澳大利亚","1","留存率","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-05(五)","googleplay","西班牙","1","留存人数","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-05(五)","googleplay","西班牙","1","留存率","100%","0%","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-05(五)","AppStore","瑞典","1","留存人数","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-05(五)","AppStore","瑞典","1","留存率","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-05(五)","AppStore","波兰","1","留存人数","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-05(五)","AppStore","波兰","1","留存率","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","总体","总体","7476","留存人数","7476","3423","2348","2008","1898","2154","1803","1677","1477","1323","1180","1081","1038","948","969","888","813","842","874","803","725","710","685","629","597","350","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","总体","总体","7476","留存率","100%","45.79%","31.41%","26.86%","25.39%","28.81%","24.12%","22.43%","19.76%","17.7%","15.78%","14.46%","13.88%","12.68%","12.96%","11.88%","10.87%","11.26%","11.69%","10.74%","9.7%","9.5%","9.16%","8.41%","7.99%","4.68%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","日本","4396","留存人数","4396","2216","1518","1317","1258","1463","1245","1148","999","886","794","725","687","622","650","599","554","577","588","539","494","485","474","428","401","241","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","日本","4396","留存率","100%","50.41%","34.53%","29.96%","28.62%","33.28%","28.32%","26.11%","22.73%","20.15%","18.06%","16.49%","15.63%","14.15%","14.79%","13.63%","12.6%","13.13%","13.38%","12.26%","11.24%","11.03%","10.78%","9.74%","9.12%","5.48%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","日本","2983","留存人数","2983","1170","801","667","616","669","537","507","458","417","367","337","336","312","307","273","246","251","271","251","216","211","199","190","182","101","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","日本","2983","留存率","100%","39.22%","26.85%","22.36%","20.65%","22.43%","18%","17%","15.35%","13.98%","12.3%","11.3%","11.26%","10.46%","10.29%","9.15%","8.25%","8.41%","9.08%","8.41%","7.24%","7.07%","6.67%","6.37%","6.1%","3.39%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","中国","41","留存人数","41","16","10","9","11","11","9","10","11","9","8","9","6","6","5","7","8","7","6","6","6","7","6","5","7","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","中国","41","留存率","100%","39.02%","24.39%","21.95%","26.83%","26.83%","21.95%","24.39%","26.83%","21.95%","19.51%","21.95%","14.63%","14.63%","12.2%","17.07%","19.51%","17.07%","14.63%","14.63%","14.63%","17.07%","14.63%","12.2%","17.07%","12.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","中国","15","留存人数","15","5","5","4","2","1","2","3","2","1","2","1","1","1","1","2","0","1","2","2","2","1","0","1","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","中国","15","留存率","100%","33.33%","33.33%","26.67%","13.33%","6.67%","13.33%","20%","13.33%","6.67%","13.33%","6.67%","6.67%","6.67%","6.67%","13.33%","0%","6.67%","13.33%","13.33%","13.33%","6.67%","0%","6.67%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","美国","6","留存人数","6","3","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","美国","6","留存率","100%","50%","16.67%","0%","0%","0%","0%","0%","0%","0%","0%","0%","16.67%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","韩国","5","留存人数","5","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","韩国","5","留存率","100%","60%","40%","40%","40%","40%","40%","40%","40%","40%","40%","40%","40%","40%","40%","40%","40%","40%","40%","40%","40%","40%","40%","40%","40%","20%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","泰国","3","留存人数","3","1","1","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","泰国","3","留存率","100%","33.33%","33.33%","66.67%","33.33%","33.33%","33.33%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","韩国","3","留存人数","3","2","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","韩国","3","留存率","100%","66.67%","33.33%","33.33%","33.33%","33.33%","33.33%","33.33%","0%","33.33%","33.33%","33.33%","33.33%","33.33%","33.33%","33.33%","33.33%","33.33%","33.33%","33.33%","33.33%","33.33%","33.33%","33.33%","33.33%","33.33%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","泰国","3","留存人数","3","0","1","1","1","2","2","1","0","2","1","2","1","1","0","0","0","0","0","0","0","0","1","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","泰国","3","留存率","100%","0%","33.33%","33.33%","33.33%","66.67%","66.67%","33.33%","0%","66.67%","33.33%","66.67%","33.33%","33.33%","0%","0%","0%","0%","0%","0%","0%","0%","33.33%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","越南","2","留存人数","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","越南","2","留存率","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","50%","50%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","加拿大","2","留存人数","2","2","2","1","1","1","1","1","0","1","1","0","0","1","1","1","0","1","1","0","2","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","加拿大","2","留存率","100%","100%","100%","50%","50%","50%","50%","50%","0%","50%","50%","0%","0%","50%","50%","50%","0%","50%","50%","0%","100%","0%","0%","0%","50%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","印度尼西亚","2","留存人数","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","0","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","印度尼西亚","2","留存率","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","50%","50%","50%","50%","50%","50%","50%","50%","50%","50%","0%","50%","50%","50%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","英国","2","留存人数","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","英国","2","留存率","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","越南","1","留存人数","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","越南","1","留存率","100%","100%","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","马来西亚","1","留存人数","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","马来西亚","1","留存率","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","澳大利亚","1","留存人数","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","AppStore","澳大利亚","1","留存率","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","巴西","1","留存人数","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","巴西","1","留存率","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","加拿大","1","留存人数","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","加拿大","1","留存率","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","法国","1","留存人数","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","法国","1","留存率","100%","0%","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","菲律宾","1","留存人数","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","菲律宾","1","留存率","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","澳大利亚","1","留存人数","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","澳大利亚","1","留存率","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","哥伦比亚","1","留存人数","1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","哥伦比亚","1","留存率","100%","0%","0%","0%","0%","0%","0%","100%","100%","100%","100%","100%","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","意大利","1","留存人数","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","意大利","1","留存率","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","西班牙","1","留存人数","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","西班牙","1","留存率","100%","100%","100%","100%","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","乌拉圭","1","留存人数","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","乌拉圭","1","留存率","100%","0%","0%","0%","100%","0%","0%","0%","100%","0%","0%","0%","0%","0%","0%","100%","0%","0%","100%","0%","0%","0%","0%","0%","100%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","洪都拉斯","1","留存人数","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-06(六)","googleplay","洪都拉斯","1","留存率","100%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","总体","总体","5896","留存人数","5896","2495","1891","1676","1762","1464","1340","1261","1060","936","861","838","762","726","717","651","664","668","626","553","557","539","505","470","272","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","总体","总体","5896","留存率","100%","42.32%","32.07%","28.43%","29.88%","24.83%","22.73%","21.39%","17.98%","15.88%","14.6%","14.21%","12.92%","12.31%","12.16%","11.04%","11.26%","11.33%","10.62%","9.38%","9.45%","9.14%","8.57%","7.97%","4.61%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","AppStore","日本","3421","留存人数","3421","1583","1194","1078","1141","970","888","836","723","621","572","563","515","492","490","448","448","460","436","370","374","368","341","317","178","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","AppStore","日本","3421","留存率","100%","46.27%","34.9%","31.51%","33.35%","28.35%","25.96%","24.44%","21.13%","18.15%","16.72%","16.46%","15.05%","14.38%","14.32%","13.1%","13.1%","13.45%","12.74%","10.82%","10.93%","10.76%","9.97%","9.27%","5.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","googleplay","日本","2411","留存人数","2411","889","683","582","607","483","443","418","329","307","281","269","239","229","220","196","211","203","186","179","180","169","160","149","90","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","googleplay","日本","2411","留存率","100%","36.87%","28.33%","24.14%","25.18%","20.03%","18.37%","17.34%","13.65%","12.73%","11.65%","11.16%","9.91%","9.5%","9.12%","8.13%","8.75%","8.42%","7.71%","7.42%","7.47%","7.01%","6.64%","6.18%","3.73%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","AppStore","中国","24","留存人数","24","8","5","6","6","5","3","1","2","2","3","2","1","1","2","2","1","1","1","1","1","0","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","AppStore","中国","24","留存率","100%","33.33%","20.83%","25%","25%","20.83%","12.5%","4.17%","8.33%","8.33%","12.5%","8.33%","4.17%","4.17%","8.33%","8.33%","4.17%","4.17%","4.17%","4.17%","4.17%","0%","4.17%","4.17%","4.17%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","googleplay","中国","8","留存人数","8","3","1","2","3","2","2","2","2","3","2","2","3","2","2","2","2","2","1","2","1","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","googleplay","中国","8","留存率","100%","37.5%","12.5%","25%","37.5%","25%","25%","25%","25%","37.5%","25%","25%","37.5%","25%","25%","25%","25%","25%","12.5%","25%","12.5%","25%","25%","25%","25%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","googleplay","韩国","6","留存人数","6","1","1","1","1","0","0","0","1","1","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","googleplay","韩国","6","留存率","100%","16.67%","16.67%","16.67%","16.67%","0%","0%","0%","16.67%","16.67%","16.67%","0%","16.67%","0%","0%","16.67%","16.67%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","AppStore","美国","5","留存人数","5","2","1","2","2","2","1","1","1","1","1","0","1","1","1","1","0","1","1","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","AppStore","美国","5","留存率","100%","40%","20%","40%","40%","40%","20%","20%","20%","20%","20%","0%","20%","20%","20%","20%","0%","20%","20%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","googleplay","印度尼西亚","3","留存人数","3","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-07-07(日)","googleplay","印度尼西亚","3","留存率","100%","33.33%","0%","33.33%","33.33%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
